playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Pavel Kraskovsky,69,42,4.8,5.7,49.9,164,Winnipeg Jets,Pavel Kraskovsky (F),2014,0,https://www.eliteprospects.com/player/212441/pavel-kraskovsky,Winnipeg Jets,Unsigned,1996-09-11,"6'4""",95 kg / 209,"Yaroslavl, RUS",Russia,L,2014 round 6 #164 overall by Winnipeg Jets,Yaroslavl, ,10.8
Pavel Zacha,58,78,6.1000000000000005,8.6,110.3,6,New Jersey Devils,Pavel Zacha (F),2015,0,https://www.eliteprospects.com/player/130786/pavel-zacha,Boston Bruins,Signed,1997-04-06,"6'3""",95 kg / 209,"Brno, CZE",Czechia,L,2015 round 1 #6 overall by New Jersey Devils,Brno, ,10.2
Peter Andersson,73,78,0.7999999999999999,0.9,87.6,143,Vancouver Canucks,Peter Andersson (D),2009,1,https://www.eliteprospects.com/player/10071/peter-andersson,-,-,1991-04-13,"6'4""",92 kg / 203,"Kvidinge, SWE",Sweden,L,2009 round 5 #143 overall by Vancouver Canucks,Kvidinge, ,16.2
Peter Cehlarik,79,18,8.6,8.9,18.7,90,Boston Bruins,Peter Cehlarik (F),2013,0,https://www.eliteprospects.com/player/153203/peter-cehlarik,Boston Bruins,Unsigned,1995-08-02,"6'2""",91 kg / 201,"Zilina, SVK",Slovakia,L,2013 round 3 #90 overall by Boston Bruins,Zilina, ,11.9
Peter Ceresnak,52,22,1.4,2.2,34.7,172,New York Rangers,Peter Ceresnak (D),2011,1,https://www.eliteprospects.com/player/66434/peter-ceresnak,-,-,1993-01-26,"6'3""",95 kg / 209,"Trencin, SVK",Slovakia,R,2011 round 6 #172 overall by New York Rangers,Trencin, ,14.4
Peter Holland,74,50,10.299999999999999,11.4,55.4,15,Anaheim Ducks,Peter Holland (F),2009,0,https://www.eliteprospects.com/player/24654/peter-holland,-,-,1991-01-14,"6'2""",88 kg / 194,"Toronto, ON, CAN",Canada,L,2009 round 1 #15 overall by Anaheim Ducks,Toronto, ,16.5
Peter Quenneville,63,18,10.0,13.0,23.4,195,Columbus Blue Jackets,Peter Quenneville (F),2013,0,https://www.eliteprospects.com/player/57050/peter-quenneville,-,-,1994-03-09,"6'0""",84 kg / 185,"Edmonton, AB, CAN",Canada,R,2013 round 7 #195 overall by Columbus Blue Jackets,Edmonton, ,13.3
Peter Stoykewych,56,63,1.4,2.0,92.2,199,Atlanta Thrashers,Peter Stoykewych (D),2010,1,https://www.eliteprospects.com/player/40030/peter-stoykewych,-,-,1992-07-14,"6'3""",91 kg / 201,"Winnipeg, MB, CAN",Canada,L,2010 round 7 #199 overall by Atlanta Thrashers,Winnipeg, ,15.0
Petr Straka,66,54,7.2,8.9,67.1,55,Columbus Blue Jackets,Petr Straka (F),2010,0,https://www.eliteprospects.com/player/34805/petr-straka,-,-,1992-06-15,"6'1""",88 kg / 194,"Plzen, CZE",Czechia,L,2010 round 2 #55 overall by Columbus Blue Jackets,Plzen, ,15.0
Petter Granberg,73,49,0.9,1.0,55.0,116,Toronto Maple Leafs,Petter Granberg (D),2010,1,https://www.eliteprospects.com/player/13901/petter-granberg,-,-,1992-08-27,"6'3""",93 kg / 205,"Gällivare, SWE",Sweden,R,2010 round 4 #116 overall by Toronto Maple Leafs,Gällivare, ,14.8
Petter Hansson,57,36,3.7,5.3,51.8,202,New York Islanders,Petter Hansson (D),2015,1,https://www.eliteprospects.com/player/111641/petter-hansson,-,-,1996-05-16,"6'2""",89 kg / 196,"Gislaved, SWE",Sweden,L,2015 round 7 #202 overall by New York Islanders,Gislaved, ,11.1
Petteri Lindbohm,54,122,1.3,2.0,185.3,176,St. Louis Blues,Petteri Lindbohm (D),2012,1,https://www.eliteprospects.com/player/45347/petteri-lindbohm,-,-,1993-09-23,"6'3""",95 kg / 209,"Helsinki, FIN",Finland,L,2012 round 6 #176 overall by St. Louis Blues,Helsinki, ,13.8
Phil DeSimone,60,60,10.4,14.2,82.0,84,Washington Capitals,Phil DeSimone (F),2007,0,https://www.eliteprospects.com/player/12526/phil-desimone,-,-,1987-03-19,"6'0""",88 kg / 194,"East Amherst, NY, USA",USA,L,2007 round 3 #84 overall by Washington Capitals,East Amherst, ,20.3
Phil Di Giuseppe,40,18,5.0,10.2,36.9,38,Carolina Hurricanes,Phil Di Giuseppe (F),2012,0,https://www.eliteprospects.com/player/62746/phil-di-giuseppe,Vancouver Canucks,Signed,1993-10-09,"6'0""",87 kg / 192,"Maple, ON, CAN",Canada,L,2012 round 2 #38 overall by Carolina Hurricanes,Maple, ,13.7
Phil Lane,64,52,4.6,5.9,66.6,52,Phoenix Coyotes,Phil Lane (F),2010,0,https://www.eliteprospects.com/player/39491/phil-lane,-,-,1992-05-29,"6'3""",96 kg / 212,"Rochester, NY, USA",USA,R,2010 round 2 #52 overall by Phoenix Coyotes,Rochester, ,15.1
Phil Varone,58,32,7.5,10.6,45.2,147,San Jose Sharks,Phil Varone (F),2009,0,https://www.eliteprospects.com/player/15485/phil-varone,-,-,1990-12-04,"5'10""",84 kg / 185,"Vaughan, ON, CAN",Canada,L,2009 round 5 #147 overall by San Jose Sharks,Vaughan, ,16.6
Philip Larsen,54,52,4.5,6.8,79.0,149,Dallas Stars,Philip Larsen (D),2008,1,https://www.eliteprospects.com/player/6006/philip-larsen,-,-,1989-12-07,"6'0""",82 kg / 181,"Esbjerg, DEN",Denmark,R,2008 round 5 #149 overall by Dallas Stars,Esbjerg, ,17.6
Philip McRae,73,65,7.3999999999999995,8.3,73.0,33,St. Louis Blues,Philip McRae (F),2008,0,https://www.eliteprospects.com/player/13499/philip-mcrae,-,-,1990-03-15,"6'2""",88 kg / 194,"Chesterfield, MO, USA",USA,L,2008 round 2 #33 overall by St. Louis Blues,Chesterfield, ,17.3
Philip Samuelsson,78,76,4.0,4.2,79.9,61,Pittsburgh Penguins,Philip Samuelsson (D),2009,1,https://www.eliteprospects.com/player/10809/philip-samuelsson,-,-,1991-07-26,"6'2""",88 kg / 194,"Leksand, SWE",Sweden,L,2009 round 2 #61 overall by Pittsburgh Penguins,Leksand, ,15.9
Philippe Cornet,61,24,5.5,7.4,32.3,133,Edmonton Oilers,Philippe Cornet (F),2008,0,https://www.eliteprospects.com/player/19051/philippe-cornet,-,-,1990-03-28,"6'0""",89 kg / 196,"Val-Senneville, QC, CAN",Canada,L,2008 round 5 #133 overall by Edmonton Oilers,Val-Senneville, ,17.3
Philippe Hudon,22,44,0.6,2.2,164.0,145,Detroit Red Wings,Philippe Hudon (F),2011,0,https://www.eliteprospects.com/player/56641/philippe-hudon,-,-,1993-04-15,"6'1""",93 kg / 205,"Hudson, QC, CAN",Canada,R,2011 round 5 #145 overall by Detroit Red Wings,Hudson, ,14.2
Philippe Paradis,66,74,5.6,7.0,91.9,27,Carolina Hurricanes,Philippe Paradis (F),2009,0,https://www.eliteprospects.com/player/23204/philippe-paradis,-,-,1991-01-02,"6'2""",93 kg / 205,"Normandin, QC, CAN",Canada,L,2009 round 1 #27 overall by Carolina Hurricanes,Normandin, ,16.5
Phillip Danault,64,59,7.6,9.7,75.6,26,Chicago Blackhawks,Phillip Danault (F),2011,0,https://www.eliteprospects.com/player/45282/phillip-danault,Los Angeles Kings,Signed,1993-02-24,"6'1""",91 kg / 201,"Victoriaville, QC, CAN",Canada,L,2011 round 1 #26 overall by Chicago Blackhawks,Victoriaville, ,14.3
Pierre Engvall,69,52,4.9,5.8,61.8,188,Toronto Maple Leafs,Pierre Engvall (F),2014,0,https://www.eliteprospects.com/player/147720/pierre-engvall,Toronto Maple Leafs,Signed,1996-05-31,"6'5""",98 kg / 216,"Ljungby, SWE",Sweden,L,2014 round 7 #188 overall by Toronto Maple Leafs,Ljungby, ,11.1
Pontus Själin,31,12,0.5,1.3,31.7,160,Minnesota Wild,Pontus Själin (D),2014,1,https://www.eliteprospects.com/player/86227/pontus-sjalin,-,-,1996-06-12,"6'0""",85 kg / 187,"Östersund, SWE",Sweden,L,2014 round 6 #160 overall by Minnesota Wild,Östersund, ,11.0
Pontus Åberg,65,8,9.0,11.4,10.1,37,Nashville Predators,Pontus Åberg (F),2012,0,https://www.eliteprospects.com/player/16835/pontus-aberg,-,-,1993-09-23,"6'0""",88 kg / 194,"Stockholm, SWE",Sweden,R,2012 round 2 #37 overall by Nashville Predators,Stockholm, ,13.8
Prab Rai,72,21,9.2,10.5,23.9,131,Vancouver Canucks,Prab Rai (F),2008,0,https://www.eliteprospects.com/player/15590/prab-rai,-,-,1989-11-22,"5'11""",86 kg / 190,"Surrey, BC, CAN",Canada,L,2008 round 5 #131 overall by Vancouver Canucks,Surrey, ,17.6
Quentin Shore,39,22,3.7,7.8,46.3,168,Ottawa Senators,Quentin Shore (F),2013,0,https://www.eliteprospects.com/player/90346/quentin-shore,-,-,1994-05-25,"6'2""",83 kg / 183,"Denver, CO, USA",USA,R,2013 round 6 #168 overall by Ottawa Senators,Denver, ,13.1
Quinton Howden,71,48,10.0,11.5,55.4,25,Florida Panthers,Quinton Howden (F),2010,0,https://www.eliteprospects.com/player/31281/quinton-howden,-,-,1992-01-21,"6'2""",86 kg / 190,"Winnipeg, MB, CAN",Canada,L,2010 round 1 #25 overall by Florida Panthers,Winnipeg, ,15.4
Radek Faksa,76,59,10.0,10.8,63.7,13,Dallas Stars,Radek Faksa (F),2012,0,https://www.eliteprospects.com/player/98300/radek-faksa,Dallas Stars,Signed,1994-01-09,"6'3""",100 kg / 220,"Vitkov, CZE",Czechia,L,2012 round 1 #13 overall by Dallas Stars,Vitkov, ,13.5
Radel Fazleyev,43,14,3.6,6.9,26.7,168,Philadelphia Flyers,Radel Fazleyev (F),2014,0,https://www.eliteprospects.com/player/231738/radel-fazleyev,-,-,1996-01-07,"6'0""",87 kg / 192,"Kazan, RUS",Russia,L,2014 round 6 #168 overall by Philadelphia Flyers,Kazan, ,11.5
Radim Ostrcil,85,105,3.1,3.0,101.3,169,Boston Bruins,Radim Ostrcil (D),2007,1,https://www.eliteprospects.com/player/12572/radim-ostrcil,-,-,1989-01-15,"6'0""",94 kg / 207,"Vsetin, CZE",Czechia,L,2007 round 6 #169 overall by Boston Bruins,Vsetin, ,18.5
Radko Gudas,81,181,5.7,5.8,183.2,66,Tampa Bay Lightning,Radko Gudas (D),2010,1,https://www.eliteprospects.com/player/18085/radko-gudas,Florida Panthers,Signed,1990-06-05,"6'0""",94 kg / 207,"Kladno, CZE",Czechia,R,2010 round 3 #66 overall by Tampa Bay Lightning,Kladno, ,17.1
Radoslav Illo,47,37,4.7,8.2,64.6,136,Anaheim Ducks,Radoslav Illo (F),2009,0,https://www.eliteprospects.com/player/27025/radoslav-illo,-,-,1990-01-21,"6'0""",88 kg / 194,"Povazska Bystrica, SVK",Slovakia,L,2009 round 5 #136 overall by Anaheim Ducks,Povazska Bystrica, ,17.4
Radovan Bondra,51,59,2.9,4.7,94.9,151,Chicago Blackhawks,Radovan Bondra (F),2015,0,https://www.eliteprospects.com/player/157407/radovan-bondra,-,-,1997-01-27,"6'5""",104 kg / 229,"Trebisov, SVK",Slovakia,L,2015 round 5 #151 overall by Chicago Blackhawks,Trebisov, ,10.4
Randy Cameron,70,44,4.4,5.2,51.5,148,Detroit Red Wings,Randy Cameron (F),2007,0,https://www.eliteprospects.com/player/17843/randy-cameron,-,-,1989-01-28,"5'11""",88 kg / 194,"Cornwall, PE, CAN",Canada,R,2007 round 5 #148 overall by Detroit Red Wings,Cornwall, ,18.4
Randy McNaught,65,163,1.7,2.1,205.6,190,New York Rangers,Randy McNaught (F),2010,0,https://www.eliteprospects.com/player/37116/randy-mcnaught,-,-,1990-09-05,"6'4""",101 kg / 223,"Nanaimo, BC, CAN",Canada,R,2010 round 7 #190 overall by New York Rangers,Nanaimo, ,16.8
Raphaël Bussières,56,60,5.0,7.3,87.9,46,Minnesota Wild,Raphaël Bussières (F),2012,0,https://www.eliteprospects.com/player/45156/raphael-bussieres,-,-,1993-11-05,"6'2""",92 kg / 203,"Longueuil, QC, CAN",Canada,L,2012 round 2 #46 overall by Minnesota Wild,Longueuil, ,13.7
Rasmus Andersson,67,88,9.2,11.3,107.7,53,Calgary Flames,Rasmus Andersson (D),2015,1,https://www.eliteprospects.com/player/86137/rasmus-andersson,Calgary Flames,Signed,1996-10-27,"6'0""",97 kg / 214,"Malmö, SWE",Sweden,R,2015 round 2 #53 overall by Calgary Flames,Malmö, ,10.7
Rasmus Bengtsson,87,28,4.1000000000000005,3.9,26.4,59,Florida Panthers,Rasmus Bengtsson (D),2011,1,https://www.eliteprospects.com/player/23185/rasmus-bengtsson,-,-,1993-05-14,"6'2""",89 kg / 196,"Landskrona, SWE",Sweden,L,2011 round 2 #59 overall by Florida Panthers,Landskrona, ,14.1
Rasmus Bodin,49,112,1.9000000000000001,3.2,187.4,200,Detroit Red Wings,Rasmus Bodin (F),2012,0,https://www.eliteprospects.com/player/40853/rasmus-bodin,-,-,1994-05-05,"6'6""",94 kg / 207,"Brunflo, SWE",Sweden,L,2012 round 7 #200 overall by Detroit Red Wings,Brunflo, ,13.2
Rasmus Rissanen,53,118,0.7,1.1,182.6,178,Carolina Hurricanes,Rasmus Rissanen (D),2009,1,https://www.eliteprospects.com/player/17287/rasmus-rissanen,-,-,1991-07-13,"6'3""",98 kg / 216,"Kuopio, FIN",Finland,L,2009 round 6 #178 overall by Carolina Hurricanes,Kuopio, ,16.0
Rasmus Ristolainen,76,86,8.2,8.8,92.8,8,Buffalo Sabres,Rasmus Ristolainen (D),2013,1,https://www.eliteprospects.com/player/43497/rasmus-ristolainen,Philadelphia Flyers,Signed,1994-10-27,"6'4""",100 kg / 220,"Turku, FIN",Finland,R,2013 round 1 #8 overall by Buffalo Sabres,Turku, ,12.7
Reece Scarlett,79,59,3.4,3.5,61.2,159,New Jersey Devils,Reece Scarlett (D),2011,1,https://www.eliteprospects.com/player/37209/reece-scarlett,-,-,1993-03-31,"6'1""",84 kg / 185,"Edmonton, AB, CAN",Canada,R,2011 round 6 #159 overall by New Jersey Devils,Edmonton, ,14.3
Reece Willcox,52,26,1.8,2.8,41.0,141,Philadelphia Flyers,Reece Willcox (D),2012,1,https://www.eliteprospects.com/player/93550/reece-willcox,-,-,1994-03-20,"6'4""",93 kg / 205,"Surrey, BC, CAN",Canada,R,2012 round 5 #141 overall by Philadelphia Flyers,Surrey, ,13.3
Reid Boucher,87,56,10.8,10.2,52.8,99,New Jersey Devils,Reid Boucher (F),2011,0,https://www.eliteprospects.com/player/38620/reid-boucher,-,-,1993-09-08,"5'11""",87 kg / 192,"Grand Ledge, MI, USA",USA,L,2011 round 4 #99 overall by New Jersey Devils,Grand Ledge, ,13.8
Reid Duke,62,91,5.6,7.4,120.4,169,Minnesota Wild,Reid Duke (F),2014,0,https://www.eliteprospects.com/player/62308/reid-duke,-,-,1996-01-28,"6'0""",87 kg / 192,"Calgary, AB, CAN",Canada,R,2014 round 6 #169 overall by Minnesota Wild,Calgary, ,11.4
Reid McNeill,93,84,1.1,1.0,74.1,170,Pittsburgh Penguins,Reid McNeill (D),2010,1,https://www.eliteprospects.com/player/45609/reid-mcneill,-,-,1992-04-29,"6'4""",98 kg / 216,"London, ON, CAN",Canada,L,2010 round 6 #170 overall by Pittsburgh Penguins,London, ,15.2
Reilly Smith,49,44,2.6,4.4,73.6,69,Dallas Stars,Reilly Smith (F),2009,0,https://www.eliteprospects.com/player/33903/reilly-smith,Vegas Golden Knights,Signed,1991-04-01,"6'0""",84 kg / 185,"Etobicoke, ON, CAN",Canada,L,2009 round 3 #69 overall by Dallas Stars,Etobicoke, ,16.2
Remi Elie,65,34,2.4,3.0,42.9,40,Dallas Stars,Remi Elie (F),2013,0,https://www.eliteprospects.com/player/127847/remi-elie,-,-,1995-04-16,"6'1""",98 kg / 216,"Green Valley, ON, CAN",Canada,L,2013 round 2 #40 overall by Dallas Stars,Green Valley, ,12.2
Rhett Holland,47,223,0.6,1.0,389.1,102,Phoenix Coyotes,Rhett Holland (D),2012,1,https://www.eliteprospects.com/player/44972/rhett-holland,-,-,1993-09-25,"6'2""",98 kg / 216,"Calgary, AB, CAN",Canada,R,2012 round 4 #102 overall by Phoenix Coyotes,Calgary, ,13.8
Ricard Blidstrand,55,6,1.1,1.6,8.9,206,Philadelphia Flyers,Ricard Blidstrand (D),2010,1,https://www.eliteprospects.com/player/10384/ricard-blidstrand,-,-,1992-04-20,"6'2""",96 kg / 212,"Stockholm, SWE",Sweden,L,2010 round 7 #206 overall by Philadelphia Flyers,Stockholm, ,15.2
Richard Greenop,48,149,1.7,2.9,254.5,156,Chicago Blackhawks,Richard Greenop (F),2007,0,https://www.eliteprospects.com/player/13632/richard-greenop,-,-,1989-02-24,"6'4""",105 kg / 231,"Oshawa, ON, CAN",Canada,R,2007 round 6 #156 overall by Chicago Blackhawks,Oshawa, ,18.3
Richard Nedomlel,66,107,1.4,1.7,132.9,175,Detroit Red Wings,Richard Nedomlel (D),2011,1,https://www.eliteprospects.com/player/79399/richard-nedomlel,-,-,1993-07-01,"6'4""",119 kg / 262,"Praha, CZE",Czechia,L,2011 round 6 #175 overall by Detroit Red Wings,Praha, ,14.0
Richard Nejezchleb,66,75,8.0,9.9,93.2,122,New York Rangers,Richard Nejezchleb (F),2014,0,https://www.eliteprospects.com/player/100577/richard-nejezchleb,-,-,1994-05-02,"6'2""",93 kg / 205,"Praha, CZE",Czechia,L,2014 round 5 #122 overall by New York Rangers,Praha, ,13.2
Richard Pánik,41,44,4.6,9.2,88.0,52,Tampa Bay Lightning,Richard Pánik (F),2009,0,https://www.eliteprospects.com/player/11849/richard-panik,New York Islanders,Signed,1991-02-07,"6'2""",92 kg / 203,"Martin, SVK",Slovakia,L,2009 round 2 #52 overall by Tampa Bay Lightning,Martin, ,16.4
Rickard Rakell,66,22,7.3,9.1,27.3,30,Anaheim Ducks,Rickard Rakell (F),2011,0,https://www.eliteprospects.com/player/17435/rickard-rakell,Pittsburgh Penguins,Signed,1993-05-05,"6'1""",92 kg / 203,"Sollentuna, SWE",Sweden,R,2011 round 1 #30 overall by Anaheim Ducks,Sollentuna, ,14.2
Riley Barber,99,150,6.4,5.3,124.2,167,Washington Capitals,Riley Barber (F),2012,0,https://www.eliteprospects.com/player/89847/riley-barber,Dallas Stars,Signed,1994-02-07,"6'0""",90 kg / 198,"Pittsburgh, PA, USA",USA,R,2012 round 6 #167 overall by Washington Capitals,Pittsburgh, ,13.4
Riley Boychuk,66,157,4.2,5.2,195.1,208,Buffalo Sabres,Riley Boychuk (F),2010,0,https://www.eliteprospects.com/player/32784/riley-boychuk,-,-,1991-02-20,"6'4""",98 kg / 216,"Abbotsford, BC, CAN",Canada,L,2010 round 7 #208 overall by Buffalo Sabres,Abbotsford, ,16.4
Riley Bruce,52,32,0.4,0.6,50.5,196,Calgary Flames,Riley Bruce (D),2015,1,https://www.eliteprospects.com/player/245105/riley-bruce,-,-,1997-07-16,"6'7""",99 kg / 218,"Carp, ON, CAN",Canada,R,2015 round 7 #196 overall by Calgary Flames,Carp, ,10.0
Riley Nash,55,87,6.7,10.0,129.7,21,Edmonton Oilers,Riley Nash (F),2007,0,https://www.eliteprospects.com/player/12507/riley-nash,-,-,1989-05-09,"6'2""",85 kg / 187,"Consort, AB, CAN",Canada,R,2007 round 1 #21 overall by Edmonton Oilers,Consort, ,18.1
Riley Sheahan,37,22,3.3,7.3,48.8,21,Detroit Red Wings,Riley Sheahan (F),2010,0,https://www.eliteprospects.com/player/33929/riley-sheahan,-,-,1991-12-07,"6'2""",98 kg / 216,"St. Catharines, ON, CAN",Canada,L,2010 round 1 #21 overall by Detroit Red Wings,St. Catharines, ,15.6
Rinat Valiyev,55,68,3.9,5.8,101.4,68,Toronto Maple Leafs,Rinat Valiyev (D),2014,1,https://www.eliteprospects.com/player/159029/rinat-valiyev,-,-,1995-05-11,"6'1""",85 kg / 187,"Nizhnekamsk, RUS",Russia,L,2014 round 3 #68 overall by Toronto Maple Leafs,Nizhnekamsk, ,12.1
Rob Flick,65,157,4.9,6.2,198.1,120,Chicago Blackhawks,Rob Flick (F),2010,0,https://www.eliteprospects.com/player/37665/rob-flick,-,-,1991-03-28,"6'2""",94 kg / 207,"London, ON, CAN",Canada,L,2010 round 4 #120 overall by Chicago Blackhawks,London, ,16.3
Rob O'Gara,30,22,0.3,0.8,60.1,151,Boston Bruins,Rob O'Gara (D),2011,1,https://www.eliteprospects.com/player/128376/rob-o-gara,-,-,1993-07-06,"6'4""",97 kg / 214,"Nesconset, NY, USA",USA,L,2011 round 5 #151 overall by Boston Bruins,Nesconset, ,14.0
Robbie Czarnik,64,52,5.6,7.2,66.6,63,Los Angeles Kings,Robbie Czarnik (F),2008,0,https://www.eliteprospects.com/player/17501/robbie-czarnik,-,-,1990-01-25,"6'0""",86 kg / 190,"Detroit, MI, USA",USA,R,2008 round 3 #63 overall by Los Angeles Kings,Detroit, ,17.4
Robbie Russo,90,42,5.6000000000000005,5.1,38.3,95,New York Islanders,Robbie Russo (D),2011,1,https://www.eliteprospects.com/player/38628/robbie-russo,New Jersey Devils,Signed,1993-02-15,"6'0""",86 kg / 190,"Westmont, IL, USA",USA,R,2011 round 4 #95 overall by New York Islanders,Westmont, ,14.4
Robby Fabbri,58,55,12.5,17.7,77.8,21,St. Louis Blues,Robby Fabbri (F),2014,0,https://www.eliteprospects.com/player/156923/robby-fabbri,Detroit Red Wings,Signed,1996-01-22,"5'11""",84 kg / 185,"Mississauga, ON, CAN",Canada,L,2014 round 1 #21 overall by St. Louis Blues,Mississauga, ,11.4
Robert Baillargeon,54,36,6.9,10.5,54.7,136,Ottawa Senators,Robert Baillargeon (F),2012,0,https://www.eliteprospects.com/player/122785/robert-baillargeon,-,-,1993-11-26,"6'0""",75 kg / 165,"Springfield, MA, USA",USA,R,2012 round 5 #136 overall by Ottawa Senators,Springfield, ,13.6
Robert Bortuzzo,63,67,2.0,2.6,87.2,78,Pittsburgh Penguins,Robert Bortuzzo (D),2007,1,https://www.eliteprospects.com/player/12524/robert-bortuzzo,St. Louis Blues,Signed,1989-03-18,"6'4""",98 kg / 216,"Thunder Bay, ON, CAN",Canada,R,2007 round 3 #78 overall by Pittsburgh Penguins,Thunder Bay, ,18.3
Robert Dietrich,69,34,7.7,9.2,40.4,174,Nashville Predators,Robert Dietrich (D),2007,1,https://www.eliteprospects.com/player/13633/robert-dietrich,-,-,1986-07-25,"5'10""",78 kg / 172,"Ordzhonikidze, KAZ",Germany,L,2007 round 6 #174 overall by Nashville Predators,Ordzhonikidze, ,20.9
Robert Hägg,89,91,3.8000000000000003,3.5,83.8,41,Philadelphia Flyers,Robert Hägg (D),2013,1,https://www.eliteprospects.com/player/27397/robert-hagg,Detroit Red Wings,Signed,1995-02-08,"6'2""",94 kg / 207,"Uppsala, SWE",Sweden,L,2013 round 2 #41 overall by Philadelphia Flyers,Uppsala, ,12.4
Robin Kovács,65,73,10.700000000000001,13.5,92.1,62,New York Rangers,Robin Kovács (F),2015,0,https://www.eliteprospects.com/player/85693/robin-kovacs,-,-,1996-11-16,"6'0""",84 kg / 185,"Stockholm, SWE",Sweden,L,2015 round 3 #62 overall by New York Rangers,Stockholm, ,10.6
Robin Norell,89,40,1.3,1.2,36.9,111,Chicago Blackhawks,Robin Norell (D),2013,1,https://www.eliteprospects.com/player/38721/robin-norell,-,-,1995-02-18,"5'11""",87 kg / 192,"Stockholm, SWE",Sweden,L,2013 round 4 #111 overall by Chicago Blackhawks,Stockholm, ,12.4
Robin Press,67,26,2.9,3.5,31.8,211,Chicago Blackhawks,Robin Press (D),2013,1,https://www.eliteprospects.com/player/36616/robin-press,-,-,1994-12-21,"6'4""",95 kg / 209,"Uppsala, SWE",Sweden,R,2013 round 7 #211 overall by Chicago Blackhawks,Uppsala, ,12.5
Rocco Grimaldi,87,89,13.5,12.7,83.9,33,Florida Panthers,Rocco Grimaldi (F),2011,0,https://www.eliteprospects.com/player/38622/rocco-grimaldi,-,-,1993-02-08,"5'6""",81 kg / 179,"Anaheim, CA, USA",USA,R,2011 round 2 #33 overall by Florida Panthers,Anaheim, ,14.4
Roland McKeown,69,63,6.3,7.5,74.9,50,Los Angeles Kings,Roland McKeown (D),2014,1,https://www.eliteprospects.com/player/189364/roland-mckeown,Nashville Predators,Signed,1996-01-20,"6'1""",88 kg / 194,"Listowel, ON, CAN",Canada,R,2014 round 2 #50 overall by Los Angeles Kings,Listowel, ,11.4
Roman Horák,63,40,2.8,3.6,52.1,127,New York Rangers,Roman Horák (F),2009,0,https://www.eliteprospects.com/player/18089/roman-horak,-,-,1991-05-21,"6'0""",82 kg / 181,"Ceske Budejovice, CZE",Czechia,L,2009 round 5 #127 overall by New York Rangers,Ceske Budejovice, ,16.1
Roman Josi,117,46,9.600000000000001,6.7,32.2,38,Nashville Predators,Roman Josi (D),2008,1,https://www.eliteprospects.com/player/12668/roman-josi,Nashville Predators,Signed,1990-06-01,"6'2""",91 kg / 201,"Bern, SUI",Switzerland,L,2008 round 2 #38 overall by Nashville Predators,Bern, ,17.1
Ronald Boyd,31,0,0.6,1.6,0.0,183,Florida Panthers,Ronald Boyd (D),2010,1,https://www.eliteprospects.com/player/38034/ronald-boyd,-,-,1991-02-07,"6'2""",79 kg / 174,"Sarasota, FL, USA",USA,L,2010 round 7 #183 overall by Florida Panthers,Sarasota, ,16.4
Roope Hintz,67,16,8.0,9.8,19.6,49,Dallas Stars,Roope Hintz (F),2015,0,https://www.eliteprospects.com/player/92117/roope-hintz,Dallas Stars,Signed,1996-11-17,"6'3""",98 kg / 216,"Tampere, FIN",Finland,L,2015 round 2 #49 overall by Dallas Stars,Tampere, ,10.6
Rourke Chartier,72,8,8.2,9.3,9.1,149,San Jose Sharks,Rourke Chartier (F),2014,0,https://www.eliteprospects.com/player/120201/rourke-chartier,Ottawa Senators,Signed,1996-04-03,"5'11""",86 kg / 190,"Saskatoon, SK, CAN",Canada,L,2014 round 5 #149 overall by San Jose Sharks,Saskatoon, ,11.2
Roy Radke,64,29,2.6,3.3,37.2,164,Chicago Blackhawks,Roy Radke (F),2015,0,https://www.eliteprospects.com/player/232637/roy-radke,-,-,1996-12-10,"6'3""",93 kg / 205,"Chicago, IL, USA",USA,R,2015 round 6 #164 overall by Chicago Blackhawks,Chicago, ,10.6
Rudolfs Balcers,74,28,4.5,5.0,31.0,142,San Jose Sharks,Rudolfs Balcers (F),2015,0,https://www.eliteprospects.com/player/153652/rudolfs-balcers,Tampa Bay Lightning,Signed,1997-04-08,"5'11""",82 kg / 181,"Liepaja, LAT",Latvia,L,2015 round 5 #142 overall by San Jose Sharks,Liepaja, ,10.2
Rushan Rafikov,60,48,2.0999999999999996,2.9,65.6,187,Calgary Flames,Rushan Rafikov (D),2013,1,https://www.eliteprospects.com/player/165018/rushan-rafikov,-,-,1995-05-15,"6'2""",89 kg / 196,"Saratov, RUS",Russia,L,2013 round 7 #187 overall by Calgary Flames,Saratov, ,12.1
Ruslan Bashkirov,64,117,7.6,9.7,149.9,60,Ottawa Senators,Ruslan Bashkirov (F),2007,0,https://www.eliteprospects.com/player/9301/ruslan-bashkirov,-,-,1989-03-07,"5'11""",84 kg / 185,"Moskva, RUS",Russia,L,2007 round 2 #60 overall by Ottawa Senators,Moskva, ,18.3
Ryan Bourque,64,70,6.9,8.8,89.7,80,New York Rangers,Ryan Bourque (F),2009,0,https://www.eliteprospects.com/player/17500/ryan-bourque,-,-,1991-01-03,"5'9""",84 kg / 185,"Topsfield, MA, USA",USA,L,2009 round 3 #80 overall by New York Rangers,Topsfield, ,16.5
