playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,height _inches,weight,weight_pounds,birthplace,nation,shoots,draft,Birth City,new draft_age,redraft
Scott Glennie ,55,25,9.9,14.8,37.3,8,Dallas Stars,Scott Glennie (F),2009,0,https://www.eliteprospects.com/player/13799/scott-glennie,-,-,2/22/1991,"6'1""",73,91 kg / 201,201,"Oakville, ON, CAN",Canada,R,2009 round 1 #8 overall by Dallas Stars,Oakville,18.4,FALSE
Scott Harrington ,74,59,3.2,3.5,65.4,54,Pittsburgh Penguins,Scott Harrington (D),2011,1,https://www.eliteprospects.com/player/39653/scott-harrington,San Jose Sharks,Signed,3/10/1993,"6'2""",74,93 kg / 205,205,"Kingston, ON, CAN",Canada,L,2011 round 2 #54 overall by Pittsburgh Penguins,Kingston,18.3,FALSE
Scott Kosmachuk ,74,114,8.5,9.4,126.3,70,Winnipeg Jets,Scott Kosmachuk (F),2012,0,https://www.eliteprospects.com/player/91265/scott-kosmachuk,-,-,1/24/1994,"5'11""",71,84 kg / 185,185,"Richmond Hill, ON, CAN",Canada,R,2012 round 3 #70 overall by Winnipeg Jets,Richmond Hill,18.4,FALSE
Scott Laughton ,71,105,8.5,9.8,121.3,20,Philadelphia Flyers,Scott Laughton (F),2012,0,https://www.eliteprospects.com/player/76690/scott-laughton,Philadelphia Flyers,Signed,5/30/1994,"6'1""",73,86 kg / 190,190,"Oakville, ON, CAN",Canada,L,2012 round 1 #20 overall by Philadelphia Flyers,Oakville,18.1,FALSE
Scott Mayfield ,52,159,2.3,3.6,250.7,34,New York Islanders,Scott Mayfield (D),2011,1,https://www.eliteprospects.com/player/45906/scott-mayfield,New York Islanders,Signed,10/14/1992,"6'5""",77,100 kg / 220,220,"St. Louis, MO, USA",USA,R,2011 round 2 #34 overall by New York Islanders,St. Louis,18.7,FALSE
Scott Timmins ,66,61,10.6,13.2,75.8,165,Florida Panthers,Scott Timmins (F),2009,0,https://www.eliteprospects.com/player/18618/scott-timmins,-,-,9/11/1989,"5'11""",71,87 kg / 192,192,"Hamilton, ON, CAN",Canada,L,2009 round 6 #165 overall by Florida Panthers,Hamilton,19.8,FALSE
Scott Valentine ,87,167,2.1,2,157.4,166,Anaheim Ducks,Scott Valentine (D),2009,1,https://www.eliteprospects.com/player/30688/scott-valentine,-,-,5/2/1991,"6'1""",73,100 kg / 220,220,"Metcalfe, ON, CAN",Canada,L,2009 round 6 #166 overall by Anaheim Ducks,Metcalfe,18.2,FALSE
Scott Wilson ,42,59,2.1,4.1,115.2,209,Pittsburgh Penguins,Scott Wilson (F),2011,0,https://www.eliteprospects.com/player/62534/scott-wilson,-,-,4/24/1992,"5'11""",71,80 kg / 176,176,"Oakville, ON, CAN",Canada,L,2011 round 7 #209 overall by Pittsburgh Penguins,Oakville,19.2,FALSE
Scott Winkler ,75,40,3.8,4.2,43.7,89,Dallas Stars,Scott Winkler (F),2008,0,https://www.eliteprospects.com/player/18120/scott-winkler,-,-,2/22/1990,"6'3""",75,96 kg / 212,212,"Asker, NOR",Norway,R,2008 round 3 #89 overall by Dallas Stars,Asker,18.3,FALSE
Sean Collins ,60,34,5.3,7.2,46.5,187,Columbus Blue Jackets,Sean Collins (F),2008,0,https://www.eliteprospects.com/player/19204/sean-collins,-,-,12/29/1988,"6'3""",75,86 kg / 190,190,"Saskatoon, SK, CAN",Canada,L,2008 round 7 #187 overall by Columbus Blue Jackets,Saskatoon,19.5,FALSE
Sean Couturier ,65,36,11.6,14.6,45.4,8,Philadelphia Flyers,Sean Couturier (F),2011,0,https://www.eliteprospects.com/player/32885/sean-couturier,Philadelphia Flyers,Signed,12/7/1992,"6'4""",76,96 kg / 212,212,"Phoenix, AZ, USA",Canada,L,2011 round 1 #8 overall by Philadelphia Flyers,Phoenix,18.6,FALSE
Sean Kuraly ,51,45,4.1,6.6,72.4,133,San Jose Sharks,Sean Kuraly (F),2011,0,https://www.eliteprospects.com/player/49938/sean-kuraly,Columbus Blue Jackets,Signed,1/20/1993,"6'2""",74,93 kg / 205,205,"Dublin, OH, USA",USA,L,2011 round 5 #133 overall by San Jose Sharks,Dublin,18.4,FALSE
Sean Lorenz ,64,24,1,1.3,30.8,115,Minnesota Wild,Sean Lorenz (D),2008,1,https://www.eliteprospects.com/player/17496/sean-lorenz,-,-,3/10/1990,"6'1""",73,94 kg / 207,207,"Littleton, CO, USA",USA,R,2008 round 4 #115 overall by Minnesota Wild,Littleton,18.3,FALSE
Sean Malone ,72,36,6,6.8,41,159,Buffalo Sabres,Sean Malone (F),2013,0,https://www.eliteprospects.com/player/118664/sean-malone,Buffalo Sabres,Signed,4/30/1995,"6'0""",72,89 kg / 196,196,"Buffalo, NY, USA",USA,L,2013 round 6 #159 overall by Buffalo Sabres,Buffalo,18.2,FALSE
Sean Monahan ,58,24,11.2,15.8,33.9,6,Calgary Flames,Sean Monahan (F),2013,0,https://www.eliteprospects.com/player/85013/sean-monahan,MontrÃ©al Canadiens,Signed,10/12/1994,"6'1""",73,91 kg / 201,201,"Brampton, ON, CAN",Canada,L,2013 round 1 #6 overall by Calgary Flames,Brampton,18.7,FALSE
Sebastian Aho ,68,22,6.7,8.1,26.5,35,Carolina Hurricanes,Sebastian Aho (F),2015,0,https://www.eliteprospects.com/player/152111/sebastian-aho,Carolina Hurricanes,Signed,7/26/1997,"6'0""",72,80 kg / 176,176,"Rauma, FIN",Finland,L,2015 round 2 #35 overall by Carolina Hurricanes,Rauma,17.9,FALSE
Sebastian Collberg ,106,62,4.8,3.7,48,33,MontrÃ©al Canadiens,Sebastian Collberg (F),2012,0,https://www.eliteprospects.com/player/16836/sebastian-collberg,-,-,2/23/1994,"5'11""",71,89 kg / 196,196,"Mariestad, SWE",Sweden,R,2012 round 2 #33 overall by MontrÃ©al Canadiens,Mariestad,18.3,FALSE
Sebastian Owuya ,57,122,1.5,2.2,175.5,169,Atlanta Thrashers,Sebastian Owuya (D),2010,1,https://www.eliteprospects.com/player/10586/sebastian-owuya,-,-,10/8/1991,"6'4""",76,98 kg / 216,216,"Stockholm, SWE",Sweden,L,2010 round 6 #169 overall by Atlanta Thrashers,Stockholm,18.7,FALSE
Sebastian Wannstrom ,60,61,5.2,7.1,83.4,44,St. Louis Blues,Sebastian WÃ¤nnstrÃ¶m (F),2010,0,https://www.eliteprospects.com/player/9782/sebastian-wannstrom,-,-,3/3/1991,"6'1""",73,83 kg / 183,183,"GÃ¤vle, SWE",Sweden,R,2010 round 2 #44 overall by St. Louis Blues,GÃ¤vle,19.3,FALSE
Sergei Andronov ,61,30,13.1,17.6,40.3,78,St. Louis Blues,Sergei Andronov (F),2009,0,https://www.eliteprospects.com/player/11856/sergei-andronov,-,-,7/19/1989,"6'2""",74,93 kg / 205,205,"Penza, RUS",Russia,L,2009 round 3 #78 overall by St. Louis Blues,Penza,20.0,FALSE
Sergei Boikov ,64,64,2.4,3.1,82,161,Colorado Avalanche,Sergei Boikov (D),2015,1,https://www.eliteprospects.com/player/218306/sergei-boikov,Colorado Avalanche,Unsigned,1/24/1996,"6'1""",73,92 kg / 203,203,"Khabarovsk, RUS",Russia,L,2015 round 6 #161 overall by Colorado Avalanche,Khabarovsk,19.4,FALSE
Sergei Korostin ,53,56,9.7,15,86.6,64,Dallas Stars,Sergei Korostin (F),2007,0,https://www.eliteprospects.com/player/11864/sergei-korostin,-,-,7/5/1989,"5'10""",70,87 kg / 192,192,"Prokopyevsk, RUS",Russia,L,2007 round 3 #64 overall by Dallas Stars,Prokopyevsk,18.0,FALSE
Sergei Zborovsky ,71,70,2.7,3.1,80.8,79,New York Rangers,Sergei Zborovsky (D),2015,1,https://www.eliteprospects.com/player/277798/sergei-zborovsky,-,-,2/21/1997,"6'4""",76,94 kg / 207,207,"Moskva, RUS",Russia,R,2015 round 3 #79 overall by New York Rangers,Moskva,18.4,FALSE
Seth Ambroz ,56,89,6.6,9.7,130.3,128,Columbus Blue Jackets,Seth Ambroz (F),2011,0,https://www.eliteprospects.com/player/37875/seth-ambroz,-,-,4/1/1993,"6'2""",74,95 kg / 209,209,"New Prague, MN, USA",USA,R,2011 round 5 #128 overall by Columbus Blue Jackets,New Prague,18.2,FALSE
Seth Griffith ,68,49,12.2,14.7,59.1,131,Boston Bruins,Seth Griffith (F),2012,0,https://www.eliteprospects.com/player/45606/seth-griffith,Edmonton Oilers,Signed,1/4/1993,"5'9""",69,86 kg / 190,190,"Wallaceburg, ON, CAN",Canada,R,2012 round 5 #131 overall by Boston Bruins,Wallaceburg,19.5,FALSE
Seth Helgeson ,58,64,2.3,3.3,90.5,114,New Jersey Devils,Seth Helgeson (D),2009,1,https://www.eliteprospects.com/player/33895/seth-helgeson,-,-,10/8/1990,"6'4""",76,98 kg / 216,216,"Faribault, MN, USA",USA,L,2009 round 4 #114 overall by New Jersey Devils,Faribault,18.7,FALSE
Seth Jones ,68,37,9.8,11.8,44.6,4,Nashville Predators,Seth Jones (D),2013,1,https://www.eliteprospects.com/player/90355/seth-jones,Chicago Blackhawks,Signed,10/3/1994,"6'4""",76,95 kg / 209,209,"Arlington, TX, USA",USA,R,2013 round 1 #4 overall by Nashville Predators,Arlington,18.8,FALSE
Shane Eiserman ,53,71,5.7,8.8,109.8,100,Ottawa Senators,Shane Eiserman (F),2014,0,https://www.eliteprospects.com/player/177720/shane-eiserman,-,-,10/10/1995,"6'2""",74,91 kg / 201,201,"Newburyport, MA, USA",USA,L,2014 round 4 #100 overall by Ottawa Senators,Newburyport,18.7,FALSE
Shane Gersich ,94,24,6.2,5.4,20.9,134,Washington Capitals,Shane Gersich (F),2014,0,https://www.eliteprospects.com/player/168706/shane-gersich,-,-,7/10/1996,"5'11""",71,82 kg / 181,181,"Chaska, MN, USA",USA,L,2014 round 5 #134 overall by Washington Capitals,Chaska,18.0,FALSE
Shane McColgan ,67,62,9.3,11.4,75.9,134,New York Rangers,Shane McColgan (F),2011,0,https://www.eliteprospects.com/player/32798/shane-mccolgan,-,-,1/1/1993,"5'9""",69,75 kg / 165,165,"Torrance, CA, USA",USA,R,2011 round 5 #134 overall by New York Rangers,Torrance,18.5,FALSE
Shane Prince ,59,18,12.7,17.7,25,61,Ottawa Senators,Shane Prince (F),2011,0,https://www.eliteprospects.com/player/32724/shane-prince,-,-,11/16/1992,"5'11""",71,88 kg / 194,194,"Rochester, NY, USA",Belarus,L,2011 round 2 #61 overall by Ottawa Senators,Rochester,18.6,FALSE
Shawn Lalonde ,66,67,4.5,5.6,83.2,68,Chicago Blackhawks,Shawn Lalonde (D),2008,1,https://www.eliteprospects.com/player/11246/shawn-lalonde,-,-,3/10/1990,"6'1""",73,93 kg / 205,205,"Orleans, ON, CAN",Canada,R,2008 round 3 #68 overall by Chicago Blackhawks,Orleans,18.3,FALSE
Shayne Gostisbehere ,41,20,4.3,8.6,40,78,Philadelphia Flyers,Shayne Gostisbehere (D),2012,1,https://www.eliteprospects.com/player/122787/shayne-gostisbehere,Arizona Coyotes,Signed,4/20/1993,"5'11""",71,82 kg / 181,181,"Pembroke Pines, FL, USA",USA,L,2012 round 3 #78 overall by Philadelphia Flyers,Pembroke Pines,19.2,FALSE
Shea Theodore ,78,32,7.7,8.1,33.6,26,Anaheim Ducks,Shea Theodore (D),2013,1,https://www.eliteprospects.com/player/101581/shea-theodore,Vegas Golden Knights,Signed,8/3/1995,"6'2""",74,88 kg / 194,194,"Langley, BC, CAN",Canada,L,2013 round 1 #26 overall by Anaheim Ducks,Langley,17.9,FALSE
Simon Bertilsson ,84,182,3.8,3.7,177.7,87,Philadelphia Flyers,Simon Bertilsson (D),2009,1,https://www.eliteprospects.com/player/11173/simon-bertilsson,-,-,4/19/1991,"6'0""",72,84 kg / 185,185,"Karlskoga, SWE",Sweden,L,2009 round 3 #87 overall by Philadelphia Flyers,Karlskoga,18.2,FALSE
Simon Bourque ,68,69,4.3,5.2,83.2,177,MontrÃ©al Canadiens,Simon Bourque (D),2015,1,https://www.eliteprospects.com/player/213536/simon-bourque,-,-,1/12/1997,"6'1""",73,90 kg / 198,198,"Longueuil, QC, CAN",Canada,L,2015 round 6 #177 overall by MontrÃ©al Canadiens,Longueuil,18.5,FALSE
Simon Despres ,72,82,3.9,4.4,93.4,30,Pittsburgh Penguins,Simon DesprÃ©s (D),2009,1,https://www.eliteprospects.com/player/30902/simon-despres,-,-,7/27/1991,"6'4""",76,99 kg / 218,218,"Laval, QC, CAN",Canada,L,2009 round 1 #30 overall by Pittsburgh Penguins,Laval,17.9,FALSE
Simon Fernholm ,62,12,1.4,1.9,15.9,164,Nashville Predators,Simon Fernholm (D),2012,1,https://www.eliteprospects.com/player/37054/simon-fernholm,-,-,3/6/1994,"6'6""",78,93 kg / 205,205,"Stockholm, SWE",Sweden,L,2012 round 6 #164 overall by Nashville Predators,Stockholm,18.3,FALSE
Simon Hjalmarsson ,75,113,6.6,7.2,123.5,39,St. Louis Blues,Simon Hjalmarsson (F),2007,0,https://www.eliteprospects.com/player/5009/simon-hjalmarsson,-,-,2/1/1989,"6'0""",72,81 kg / 179,179,"VÃ¤rnamo, SWE",Sweden,L,2007 round 2 #39 overall by St. Louis Blues,VÃ¤rnamo,18.4,FALSE
Simon Karlsson ,59,72,1.8,2.5,100.1,142,Nashville Predators,Simon Karlsson (D),2011,1,https://www.eliteprospects.com/player/22501/simon-karlsson,-,-,7/23/1993,"6'3""",75,90 kg / 198,198,"Karlskrona, SWE",Sweden,R,2011 round 5 #142 overall by Nashville Predators,Karlskrona,17.9,FALSE
Simon Lacroix ,60,66,4.3,5.9,90.2,196,New York Islanders,Simon Lacroix (D),2007,1,https://www.eliteprospects.com/player/12556/simon-lacroix,-,-,5/29/1989,"6'1""",73,78 kg / 172,172,"OrlÃ©ans, ON, CAN",Canada,R,2007 round 7 #196 overall by New York Islanders,OrlÃ©ans,18.1,FALSE
Slater Koekkoek ,26,17,2.6,8.2,53.6,10,Tampa Bay Lightning,Slater Koekkoek (D),2012,1,https://www.eliteprospects.com/player/84723/slater-koekkoek,Edmonton Oilers,Signed,2/18/1994,"6'2""",74,88 kg / 194,194,"Winchester, ON, CAN",Canada,L,2012 round 1 #10 overall by Tampa Bay Lightning,Winchester,18.4,FALSE
Sondre Olden ,84,60,4.3,4.2,58.6,79,Toronto Maple Leafs,Sondre Olden (F),2010,0,https://www.eliteprospects.com/player/27945/sondre-olden,-,-,8/29/1992,"6'4""",76,86 kg / 190,190,"Oslo, NOR",Norway,L,2010 round 3 #79 overall by Toronto Maple Leafs,Oslo,17.8,FALSE
Sonny Milano ,90,48,17.4,15.9,43.7,16,Columbus Blue Jackets,Sonny Milano (F),2014,0,https://www.eliteprospects.com/player/189415/sonny-milano,Washington Capitals,Signed,5/12/1996,"6'0""",72,88 kg / 194,194,"Massapequa, NY, USA",USA,L,2014 round 1 #16 overall by Columbus Blue Jackets,Massapequa,18.1,FALSE
Spencer Bennett ,60,32,3.3,4.5,43.7,141,Calgary Flames,Spencer Bennett (F),2009,0,https://www.eliteprospects.com/player/38046/spencer-bennett,-,-,10/31/1990,"6'3""",75,91 kg / 201,201,"White Rock, BC, CAN",Canada,L,2009 round 5 #141 overall by Calgary Flames,White Rock,18.7,FALSE
Spencer Machacek ,63,32,6.3,8.2,41.7,67,Atlanta Thrashers,Spencer Machacek (F),2007,0,https://www.eliteprospects.com/player/12505/spencer-machacek,-,-,10/14/1988,"6'1""",73,92 kg / 203,203,"Lethbridge, AB, CAN",Canada,R,2007 round 3 #67 overall by Atlanta Thrashers,Lethbridge,18.7,FALSE
Spencer Smallman ,66,73,6.3,7.8,90.7,138,Carolina Hurricanes,Spencer Smallman (F),2015,0,https://www.eliteprospects.com/player/166979/spencer-smallman,Colorado Avalanche,Signed,9/9/1996,"6'1""",73,90 kg / 198,198,"Summerside, PE, CAN",Canada,R,2015 round 5 #138 overall by Carolina Hurricanes,Summerside,18.8,FALSE
Spencer Watson ,65,16,9.8,12.4,20.2,209,Los Angeles Kings,Spencer Watson (F),2014,0,https://www.eliteprospects.com/player/189462/spencer-watson,-,-,4/25/1996,"5'10""",70,77 kg / 170,170,"London, ON, CAN",Canada,R,2014 round 7 #209 overall by Los Angeles Kings,London,18.2,FALSE
Stanislav Galiyev ,71,42,6.8,7.9,48.5,86,Washington Capitals,Stanislav Galiyev (F),2010,0,https://www.eliteprospects.com/player/24635/stanislav-galiyev,-,-,1/17/1992,"6'1""",73,89 kg / 196,196,"Moskva, RUS",Russia,R,2010 round 3 #86 overall by Washington Capitals,Moskva,18.4,FALSE
Stefan Della Rovere,68,171,4.6,5.5,206.2,204,Washington Capitals,Stefan Della Rovere (F),2008,0,https://www.eliteprospects.com/player/19171/stefan-della-rovere,-,-,2/25/1990,"5'11""",71,93 kg / 205,205,"Richmond Hill, ON, CAN",Canada,L,2008 round 7 #204 overall by Washington Capitals,Richmond Hill,18.3,FALSE
Stefan Elliott ,77,26,8.1,8.6,27.7,49,Colorado Avalanche,Stefan Elliott (D),2009,1,https://www.eliteprospects.com/player/15735/stefan-elliott,-,-,1/30/1991,"6'1""",73,86 kg / 190,190,"Vancouver, BC, CAN",Canada,R,2009 round 2 #49 overall by Colorado Avalanche,Vancouver,18.4,FALSE
Stefan Legein ,64,115,10.8,13.8,147.3,37,Columbus Blue Jackets,Stefan Legein (F),2007,0,https://www.eliteprospects.com/player/12460/stefan-legein,-,-,11/24/1988,"5'10""",70,77 kg / 170,170,"Oakville, ON, CAN",Canada,R,2007 round 2 #37 overall by Columbus Blue Jackets,Oakville,18.6,FALSE
Stefan Matteau ,67,289,5.3,6.5,353.7,29,New Jersey Devils,Stefan Matteau (F),2012,0,https://www.eliteprospects.com/player/77561/stefan-matteau,-,-,2/23/1994,"6'2""",74,94 kg / 207,207,"Chicago, IL, USA",USA,L,2012 round 1 #29 overall by New Jersey Devils,Chicago,18.3,FALSE
Stefan Noesen ,68,80,11.1,13.4,96.5,21,Ottawa Senators,Stefan Noesen (F),2011,0,https://www.eliteprospects.com/player/45567/stefan-noesen,Carolina Hurricanes,Signed,2/12/1993,"6'1""",73,93 kg / 205,205,"Plano, TX, USA",USA,R,2011 round 1 #21 overall by Ottawa Senators,Plano,18.4,FALSE
Stefan Warg ,35,86,0.7,1.6,201.5,143,Anaheim Ducks,Stefan Warg (D),2008,1,https://www.eliteprospects.com/player/6870/stefan-warg,-,-,2/6/1990,"6'3""",75,100 kg / 220,220,"Stockholm, SWE",Sweden,R,2008 round 5 #143 overall by Anaheim Ducks,Stockholm,18.4,FALSE
Stephen Desrocher ,66,41,3.3,4.1,50.9,155,Toronto Maple Leafs,Stephen Desrocher (D),2015,1,https://www.eliteprospects.com/player/205526/stephen-desrocher,-,-,1/26/1996,"6'4""",76,90 kg / 198,198,"Toronto, ON, CAN",Canada,L,2015 round 6 #155 overall by Toronto Maple Leafs,Toronto,19.4,FALSE
Stephen Johns ,92,106,3.8,3.4,94.5,60,Chicago Blackhawks,Stephen Johns (D),2010,1,https://www.eliteprospects.com/player/20711/stephen-johns,-,-,4/18/1992,"6'4""",76,102 kg / 225,225,"Wampum, PA, USA",USA,R,2010 round 2 #60 overall by Chicago Blackhawks,Wampum,18.2,FALSE
Stephen Johnston ,56,12,1.3,1.9,17.6,181,Detroit Red Wings,Stephen Johnston (F),2008,0,https://www.eliteprospects.com/player/19061/stephen-johnston,-,-,2/24/1990,"6'1""",73,79 kg / 174,174,"Guelph, ON, CAN",Canada,L,2008 round 6 #181 overall by Detroit Red Wings,Guelph,18.3,FALSE
Stephen MacAulay ,56,39,2.4,3.5,57.1,164,St. Louis Blues,Stephen MacAulay (F),2010,0,https://www.eliteprospects.com/player/37425/stephen-macaulay,-,-,4/20/1992,"6'2""",74,83 kg / 183,183,"Cole Harbour, NS, CAN",Canada,L,2010 round 6 #164 overall by St. Louis Blues,Cole Harbour,18.2,FALSE
Stephen Silas ,72,61,7.4,8.4,69.5,95,Colorado Avalanche,Stephen Silas (D),2010,1,https://www.eliteprospects.com/player/33613/stephen-silas,-,-,6/26/1992,"6'0""",72,85 kg / 187,187,"Brampton, ON, CAN",Canada,L,2010 round 4 #95 overall by Colorado Avalanche,Brampton,18.0,FALSE
Steve Quailer ,60,55,7,9.6,75.2,86,MontrÃ©al Canadiens,Steve Quailer (F),2008,0,https://www.eliteprospects.com/player/15531/steve-quailer,-,-,8/5/1989,"6'4""",76,95 kg / 209,209,"Arvada, CO, USA",USA,L,2008 round 3 #86 overall by MontrÃ©al Canadiens,Arvada,18.9,FALSE
Steven Anthony ,67,47,5.4,6.6,57.5,187,Vancouver Canucks,Steven Anthony (F),2009,0,https://www.eliteprospects.com/player/33846/steven-anthony,-,-,3/21/1991,"6'1""",73,93 kg / 205,205,"Halifax, NS, CAN",Canada,L,2009 round 7 #187 overall by Vancouver Canucks,Halifax,18.3,FALSE
Steven Delisle ,70,89,3.3,3.9,104.3,107,Columbus Blue Jackets,Steven Delisle (D),2008,1,https://www.eliteprospects.com/player/19181/steven-delisle,-,-,7/30/1990,"6'6""",78,106 kg / 234,234,"LÃ©vis, QC, CAN",Canada,R,2008 round 4 #107 overall by Columbus Blue Jackets,LÃ©vis,17.9,FALSE
Steven Fogarty ,49,24,1.6,2.7,40.2,72,New York Rangers,Steven Fogarty (F),2011,0,https://www.eliteprospects.com/player/114771/steven-fogarty,Minnesota Wild,Signed,4/19/1993,"6'3""",75,93 kg / 205,205,"Chambersburg, PA, USA",USA,R,2011 round 3 #72 overall by New York Rangers,Chambersburg,18.2,FALSE
Steven Hodges ,72,62,6.5,7.4,70.6,84,Florida Panthers,Steven Hodges (F),2012,0,https://www.eliteprospects.com/player/59554/steven-hodges,-,-,5/5/1994,"6'0""",72,84 kg / 185,185,"Yellowknife, NT, CAN",Canada,L,2012 round 3 #84 overall by Florida Panthers,Yellowknife,18.1,FALSE
Steven Johnson ,56,6,4.4,6.4,8.8,120,Los Angeles Kings,Steven Johnson (D),2014,1,https://www.eliteprospects.com/player/218982/steven-johnson,-,-,6/27/1994,"6'1""",73,84 kg / 185,185,"Excelsior, MN, USA",USA,L,2014 round 4 #120 overall by Los Angeles Kings,Excelsior,20.0,FALSE
Steven Kampfer ,35,24,0.8,1.9,56.2,93,Anaheim Ducks,Steven Kampfer (D),2007,1,https://www.eliteprospects.com/player/12530/steven-kampfer,Detroit Red Wings,Signed,9/24/1988,"5'11""",71,90 kg / 198,198,"Ann Arbor, MI, USA",USA,R,2007 round 4 #93 overall by Anaheim Ducks,Ann Arbor,18.8,FALSE
Steven Lorentz ,59,15,5.3,7.4,20.8,186,Carolina Hurricanes,Steven Lorentz (F),2015,0,https://www.eliteprospects.com/player/204707/steven-lorentz,San Jose Sharks,Signed,4/13/1996,"6'4""",76,93 kg / 205,205,"Waterloo, ON, CAN",Canada,L,2015 round 7 #186 overall by Carolina Hurricanes,Waterloo,19.2,FALSE
Steven Ruggiero ,98,60,2.8,2.3,50.2,178,Anaheim Ducks,Steven Ruggiero (D),2015,1,https://www.eliteprospects.com/player/245150/steven-ruggiero,-,-,1/1/1997,"6'3""",75,100 kg / 220,220,"Kings Park, NY, USA",USA,R,2015 round 6 #178 overall by Anaheim Ducks,Kings Park,18.5,FALSE
Steven Santini ,98,50,2.5,2.1,41.8,42,New Jersey Devils,Steven Santini (D),2013,1,https://www.eliteprospects.com/player/96780/steven-santini,St. Louis Blues,Signed,3/7/1995,"6'2""",74,94 kg / 207,207,"Mahopac, NY, USA",USA,R,2013 round 2 #42 overall by New Jersey Devils,Mahopac,18.3,FALSE
Steven Shipley ,74,36,9.5,10.5,39.9,98,Buffalo Sabres,Steven Shipley (F),2010,0,https://www.eliteprospects.com/player/31284/steven-shipley,-,-,4/22/1992,"6'2""",74,92 kg / 203,203,"London, ON, CAN",Canada,L,2010 round 4 #98 overall by Buffalo Sabres,London,18.2,FALSE
Steven Spinner ,56,80,2.1,3.1,117.1,159,Washington Capitals,Steven Spinner (F),2014,0,https://www.eliteprospects.com/player/196597/steven-spinner,-,-,12/15/1995,"6'0""",72,91 kg / 201,201,"Eden Prairie, MN, USA",USA,R,2014 round 6 #159 overall by Washington Capitals,Eden Prairie,18.5,FALSE
Steven Stamkos ,68,92,16.7,20.1,110.9,1,Tampa Bay Lightning,Steven Stamkos (F),2008,0,https://www.eliteprospects.com/player/11113/steven-stamkos,Tampa Bay Lightning,Signed,2/7/1990,"6'1""",73,88 kg / 194,194,"Markham, ON, CAN",Canada,R,2008 round 1 #1 overall by Tampa Bay Lightning,Markham,18.4,FALSE
Stuart Percy ,64,50,4.8,6.1,64.1,25,Toronto Maple Leafs,Stuart Percy (D),2011,1,https://www.eliteprospects.com/player/45602/stuart-percy,-,-,5/18/1993,"6'1""",73,85 kg / 187,187,"Oakville, ON, CAN",Canada,L,2011 round 1 #25 overall by Toronto Maple Leafs,Oakville,18.1,FALSE
Sven Andrighetto ,72,57,13.3,15.1,64.9,86,MontrÃ©al Canadiens,Sven Andrighetto (F),2013,0,https://www.eliteprospects.com/player/70426/sven-andrighetto,-,-,3/21/1993,"5'10""",70,85 kg / 187,187,"Sumiswald, SUI",Switzerland,L,2013 round 3 #86 overall by MontrÃ©al Canadiens,Sumiswald,20.3,FALSE
Sven Bartschi ,87,84,12.5,11.8,79.2,13,Calgary Flames,Sven BÃ¤rtschi (F),2011,0,https://www.eliteprospects.com/player/33591/sven-bartschi,-,-,10/5/1992,"5'11""",71,86 kg / 190,190,"Bern, SUI",Switzerland,L,2011 round 1 #13 overall by Calgary Flames,Bern,18.7,FALSE
T.J. Brennan ,68,79,4.6,5.5,95.3,31,Buffalo Sabres,T.J. Brennan (D),2007,1,https://www.eliteprospects.com/player/12169/t.j.-brennan,-,-,4/3/1989,"6'1""",73,98 kg / 216,216,"Moorestown, NJ, USA",USA,L,2007 round 2 #31 overall by Buffalo Sabres,Moorestown,18.2,FALSE
T.J. Brodie ,68,73,4.3,5.2,88,114,Calgary Flames,T.J. Brodie (D),2008,1,https://www.eliteprospects.com/player/19170/t.j.-brodie,Toronto Maple Leafs,Signed,6/7/1990,"6'1""",73,81 kg / 179,179,"Chatham, ON, CAN",Canada,L,2008 round 4 #114 overall by Calgary Flames,Chatham,18.0,FALSE
T.J. Galiardi ,33,30,6,14.9,74.5,55,Colorado Avalanche,T.J. Galiardi (F),2007,0,https://www.eliteprospects.com/player/12464/t.j.-galiardi,-,-,4/22/1988,"6'2""",74,84 kg / 185,185,"Calgary, AB, CAN",USA,L,2007 round 2 #55 overall by Colorado Avalanche,Calgary,19.2,FALSE
T.J. Tynan ,44,36,10.5,19.6,67.1,66,Columbus Blue Jackets,T.J. Tynan (F),2011,0,https://www.eliteprospects.com/player/45686/t.j.-tynan,Los Angeles Kings,Signed,2/25/1992,"5'8""",68,73 kg / 161,161,"Orland Park, IL, USA",USA,R,2011 round 3 #66 overall by Columbus Blue Jackets,Orland Park,19.3,FALSE
Tanner Faith ,10,9,0.1,0.8,73.8,139,Minnesota Wild,Tanner Faith (D),2014,1,https://www.eliteprospects.com/player/101642/tanner-faith,-,-,10/5/1995,"6'4""",76,99 kg / 218,218,"Terrace, BC, CAN",Canada,R,2014 round 5 #139 overall by Minnesota Wild,Terrace,18.7,FALSE
Tanner Lane ,42,62,2.4,4.7,121,160,Atlanta Thrashers,Tanner Lane (F),2010,0,https://www.eliteprospects.com/player/79185/tanner-lane,-,-,8/13/1992,"6'2""",74,82 kg / 181,181,"Detroit Lakes, MN, USA",USA,L,2010 round 6 #160 overall by Atlanta Thrashers,Detroit Lakes,17.9,FALSE
